,Course Name,Major
0,"Computer Science (COMPSCI) < University of California, Berkeley",Computer Science
1,"var gakey = ""UA-69797702-1"";",Computer Science
2,Skip to Content,Computer Science
3,Berkeley Academic Guide Home,Computer Science
4,Institution Home,Computer Science
5,UC Berkeley,Computer Science
6,Suggested Classes,Computer Science
7,Ask Oski BETA,Computer Science
8,Academic Calendar,Computer Science
9,Print,Computer Science
10,Berkeley Berkeley Academic Guide: Academic Guide 2019-20,Computer Science
11,Search Berkeley Academic Guide,Computer Science
12,Class Schedule,Computer Science
13,Course Catalog,Computer Science
14,Undergraduate,Computer Science
15,Degree Programs: Majors & Minors,Computer Science
16,Departments,Computer Science
17,Colleges,Computer Science
18,Undergraduate Education,Computer Science
19,Study Abroad,Computer Science
20,Cross-campus Enrollment,Computer Science
21,Graduate,Computer Science
22,Degree Programs & Designated Emphases,Computer Science
23,"Schools, Departments, & Graduate Groups",Computer Science
24,Graduate Education,Computer Science
25,Archive,Computer Science
26,Home,Computer Science
27,Courses,Computer Science
28,Computer Science (COMPSCI),Computer Science
29,Computer Science (COMPSCI),Computer Science
30,Courses,Computer Science
31,Expand all course descriptions [+],Computer Science
32,Collapse all course descriptions [-],Computer Science
33,COMPSCI C8,Computer Science
34,4 Units,Computer Science
35,Offered through: Electrical Engin and Computer Sci,Computer Science
36,"Terms offered: Fall 2020, Summer 2020 8 Week Session, Spring 2020, Fall 2019, Spring 2019, Summer 2018 8 Week Session",Computer Science
37,"Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and",Computer Science
38,"statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.",Computer Science
39,Foundations of Data Science:,Computer Science
40,Read More [+],Computer Science
41,Rules & Requirements,Computer Science
42,Prerequisites:,Computer Science
43,"This course may be taken on its own, but students are encouraged to take it concurrently with a data science connector course (numbered 88 in a range of departments)",Computer Science
44,Credit Restrictions:,Computer Science
45,Students will receive no credit for,Computer Science
46,DATA C8,Computer Science
47,\,Computer Science
48,COMPSCI C8,Computer Science
49,\,Computer Science
50,INFO C8,Computer Science
51,\,Computer Science
52,STAT C8,Computer Science
53,"after completing COMPSCI 8, or DATA 8. A deficient grade in",Computer Science
54,DATA C8,Computer Science
55,\,Computer Science
56,COMPSCI C8,Computer Science
57,\,Computer Science
58,INFO C8,Computer Science
59,\,Computer Science
60,STAT C8,Computer Science
61,"may be removed by taking COMPSCI 8, COMPSCI 8, or DATA 8.",Computer Science
62,Hours & Format,Computer Science
63,Fall and/or spring:,Computer Science
64,15 weeks - 3-3 hours of lecture and 2-2 hours of laboratory per week,Computer Science
65,Summer:,Computer Science
66,8 weeks - 6 hours of lecture and 4 hours of laboratory per week,Computer Science
67,Additional Details,Computer Science
68,Subject/Course Level:,Computer Science
69,Computer Science/Undergraduate,Computer Science
70,Grading/Final exam status:,Computer Science
71,Letter grade. Final exam required.,Computer Science
72,Formerly known as:,Computer Science
73,Computer Science C8/Statistics C8/Information C8,Computer Science
74,Also listed as:,Computer Science
75,DATA C8/INFO C8/STAT C8,Computer Science
76,Foundations of Data Science:,Computer Science
77,Read Less [-],Computer Science
78,COMPSCI C8R,Computer Science
79,3 Units,Computer Science
80,Offered through: Electrical Engin and Computer Sci,Computer Science
81,Terms offered: Prior to 2007,Computer Science
82,"An introduction to computational thinking and quantitative reasoning, preparing students for further coursework, especially Foundations of Data Science (CS/Info/Stat C8). Emphasizes the use of computation to gain insight about quantitative problems with real data. Expressions, data types, collections, and tables in Python. Programming practices, abstraction, and iteration. Visualizing univariate and bivariate",Computer Science
83,"data with bar charts, histograms, plots, and maps. Introduction to statistical concepts including averages and distributions, predicting one variable from another, association and causality, probability and probabilistic simulation. Relationship between numerical functions and graphs. Sampling and introduction to inference.",Computer Science
84,Introduction to Computational Thinking with Data:,Computer Science
85,Read More [+],Computer Science
86,Objectives & Outcomes,Computer Science
87,Course Objectives:,Computer Science
88,C8R also includes quantitative reasoning concepts that aren’t covered in Data 8. These include certain topics in: principles of data visualization; simulation of random processes; and understanding numerical functions through their graphs. This will help prepare students for computational and quantitative courses other than Data 8.,Computer Science
89,"C8R takes advantage of the complementarity of computing and quantitative reasoning to enliven abstract ideas and build students’ confidence in their ability to solve real problems with quantitative tools. Students learn computer science concepts and immediately apply them to plot functions, visualize data, and simulate random events.",Computer Science
90,"Foundations of Data Science (CS/Info/Stat C8, a.k.a. Data 8) is an increasingly popular class for entering students at Berkeley. Data 8 builds students’ computing skills in the first month of the semester, and students rely on these skills as the course progresses. For some students, particularly those with little prior exposure to computing, developing these skills benefits from further time and practice. C8R is a rapid introduction to Python programming, visualization, and data analysis, which will prepare students for success in Data 8.",Computer Science
91,Student Learning Outcomes:,Computer Science
92,"Students will be able to perform basic computations in Python, including working with tabular data.",Computer Science
93,Students will be able to understand basic probabilistic simulations.,Computer Science
94,Students will be able to understand the syntactic structure of Python code.,Computer Science
95,Students will be able to use good practices in Python programming.,Computer Science
96,Students will be able to use visualizations to understand univariate data and to identify associations or causal relationships in bivariate data.,Computer Science
97,Rules & Requirements,Computer Science
98,Credit Restrictions:,Computer Science
