Art History, B.A.
Communication Studies, B.A.
Dance, B.A.
Economics, B.A.
English, B.A.
Film Studies, B.A.
French, B.A.
Global Communication and World Languages, B.A.
Global Communication and World Languages, B.A.
History, B.A.
Integrated Educational Studies, B.A.
Music, B.A.
Peace Studies, B.A.
Philosophy, B.A.
Political Science, B.A.
Psychology, B.A.
Public Relations and Advertising, B.A.
Religious Studies, B.A.
Sociology, B.A.
Spanish, B.A.
Strategic and Corporate Communication, B.A.
Theatre, B.A.
Accounting and Business Administration, Dual Major
Accounting, B.S.
Applied Human Physiology, B.S.
Biochemistry and Molecular Biology, B.S.
Biological Sciences, B.S.
Business Administration, B.S.
Chemistry, B.S.
Computer Science, B.S.
Data Analytics, B.S.
Environmental Science and Policy, B.S.
Health Sciences, B.S.
Mathematics and Civil Engineering, Joint Degree Program, Chapman University/University of California, Irvine
Mathematics, B.S.
Physics, B.S.
Software Engineering, B.S.
Accounting, M.S.
Behavioral and Computational Economics, M.S.
Business Administration, M.B.A.
Creative Writing, M.F.A.
English, M.A.
Health and Strategic Communication, M.S.
War and Society, M.A.
